Text,Type
HTML,SKILL
Java,SKILL
Javascript,SKILL
Python,SKILL
CSS,SKILL
C++,SKILL
C,SKILL
R,SKILL
PHP,SKILL
C#,SKILL
XML,SKILL
Unix,SKILL
HTML5 & CSS3,SKILL
CSS3,SKILL
Ubuntu,SKILL
Bash,SKILL
Swift,SKILL
R,SKILL
Scripting Languages,SKILL
Perl,SKILL
Objective-C,SKILL
Ruby,SKILL
SCSS / SASS,SKILL
TypeScript,SKILL
LESS,SKILL
C Sharp (C#),SKILL
Go,SKILL
Scala,SKILL
HTML/CSS/Javascript,SKILL
Core Java / Java SE,SKILL
Kotlin,SKILL
.NET,SKILL
HTML5,SKILL
HTML+CSS,SKILL
Coffeescript,SKILL
Es6,SKILL
Elixir,SKILL
Clojure,SKILL
Erlang,SKILL
TCP/IP,SKILL
Groovy,SKILL
JSON / XML,SKILL
SQL,SKILL
MySQL,SKILL
Oracle,SKILL
MongoDB,SKILL
PostgreSQL,SKILL
Data Management,SKILL
SQLite,SKILL
Redis,SKILL
Data Warehouse,SKILL
Data Pipelines,SKILL
Data Pipeline,SKILL
noSQL,SKILL
RDBMS,SKILL
Hive,SKILL
ETL,SKILL
SQL Server,SKILL
Prototyping,SKILL
Database Management,SKILL
Database and Systems Design,SKILL
Neo4J,SKILL
Relational Databases,SKILL
MS SQL Server,SKILL
DynamoDB,SKILL
SQL/MySQL/PostgreSQL,SKILL
Git,SKILL
Android,SKILL
Microsoft SQL Server,SKILL
Eclipse,SKILL
Github,SKILL
API,SKILL
Jenkins,SKILL
Selenium,SKILL
Svn,SKILL
Hadoop,SKILL
Apache Tomcat,SKILL
JUNIT,SKILL
iOS Development,SKILL
Xcode,SKILL
Heroku,SKILL
OpenCV,SKILL
Nginx,SKILL
Vue.Js,SKILL
Drupal,SKILL
REST APIs,SKILL
TensorFlow,SKILL
PySpark,SKILL
Selenium WebDriver,SKILL
Gulp,SKILL
D3.js,SKILL
Shopify,SKILL
Android Application Development,SKILL
Apache Cassandra,SKILL
Firebase,SKILL
MAGENTO,SKILL
Rabbitmq,SKILL
JMeter,SKILL
Kubernetes,SKILL
OpenGL,SKILL
iOS,SKILL
ElasticSearch,SKILL
Hbase,SKILL
Grunt,SKILL
Webpack,SKILL
Android Development,SKILL
Microsoft Azure,SKILL
Google Cloud Platform,SKILL
Apache Solr,SKILL
Android Studio,SKILL
AWS Cloud Services,SKILL
Xamarin,SKILL
Kafka,SKILL
BabelJS,SKILL
Windows Azure,SKILL
AWS Lambda,SKILL
Facebook API,SKILL
Socket.io,SKILL
Rspec,SKILL
Apache Kafka,SKILL
Unreal Engine 4,SKILL
PhoneGap/Cordova,SKILL
Bitbucket,SKILL
Amazon S3,SKILL
Android SDK,SKILL
Unity,SKILL
Google Maps API,SKILL
Hadoop/Hive/Spark/Scala/MLlib,SKILL
Salesforce Developer,SKILL
ElasticSearch,SKILL
Amazon Redshift,SKILL
Cassandra,SKILL
Memcached,SKILL
Websockets,SKILL
Celery,SKILL
Symfony,SKILL
Akka,SKILL
WebRTC,SKILL
Spark,SKILL
WebGL,SKILL
Apache Storm,SKILL
Angular JS,SKILL
Amazon Lambda,SKILL
JVM,SKILL
Infrastructure,SKILL
Amazon Web Services,SKILL
Docker,SKILL
Servers,SKILL
Shell Scripting,SKILL
AWS,SKILL
System Administration,SKILL
Chef,SKILL
Puppet,SKILL
Unix Shell Scripting,SKILL
Ansible,SKILL
Vagrant,SKILL
Linux System Administration,SKILL
Terraform,SKILL
Continuous Integration,SKILL
Bash Scripting,SKILL
Continuous Deployment,SKILL
DevOps Engineering,SKILL
Application deployment (Docker),SKILL
Dev Ops,SKILL
Programming,SKILL
Apache,SKILL
jQuery Mobile,SKILL
Zepto,SKILL
Web Application Frameworks,SKILL
All skills in the marketing industry,SKILL
Investor Relations,SKILL
Communication Skills,SKILL
Team Lead,SKILL
Negotiation Skills,SKILL
Contract Negotiations,SKILL
Organization,SKILL
Public Speaking and Presentations,SKILL
IT Management,SKILL
Engineering Management,SKILL
Technical Leadership,SKILL
CSS,SKILL
Adobe Photoshop,SKILL
Adobe,SKILL
Product Development,SKILL
Adobe Illustrator,SKILL
Graphic Design,SKILL
Adobe InDesign,SKILL
User Interface,SKILL
Product Design,SKILL
UI/UX Design,SKILL
Adobe Premiere,SKILL
Mobile User Experience,SKILL
Adobe After Effects,SKILL
Branding,SKILL
Sketch,SKILL
Illustration,SKILL
Photography,SKILL
Adobe Creative Suite,SKILL
Web Design,SKILL
Visual Design,SKILL
UI Design,SKILL
User Research,SKILL
User Interface Design,SKILL
CorelDraw,SKILL
Interface Design,SKILL
Wireframing,SKILL
UX Design,SKILL
Creative Direction,SKILL
Rapid Prototyping,SKILL
Mobile Application Design,SKILL
Video Production,SKILL
Data Visualization,SKILL
visualization,SKILL
Print Design,SKILL
Interaction Design,SKILL
Usability Testing,SKILL
Design Thinking,SKILL
Wireframes and prototyping,SKILL
Motion Graphics,SKILL
Brand Design and Strategy,SKILL
InVision Prototyping,SKILL
Typography,SKILL
Responsive Design,SKILL
Website Development/Design,SKILL
Animation,SKILL
Mockups,SKILL
Autodesk Maya,SKILL
UX Research,SKILL
3D Modeling / Animation,SKILL
Creative Strategy,SKILL
Axure,SKILL
Industrial Design,SKILL
Sketching,SKILL
Game Design,SKILL
Brand and Identity Design,SKILL
User Experience Strategy,SKILL
Fashion,SKILL
Mechanical Design,SKILL
User-Centered Design,SKILL
Icon Design,SKILL
iOS Design,SKILL
Design Research,SKILL
Android Design,SKILL
Design Strategy,SKILL
Mobile UI Design,SKILL
Mobile UI Interaction,SKILL
Interactive Design,SKILL
Design Management,SKILL
iOS/Android Design,SKILL
Mobile Design,SKILL
User Interaction Design,SKILL
Web Application Design,SKILL
Experience Design,SKILL
Origami,SKILL
Marketing Management,SKILL
Social Media,SKILL
Documentation,SKILL
Advertising,SKILL
Google Analytics,SKILL
Social Media Marketing,SKILL
Public Relations,SKILL
Digital Marketing,SKILL
Marketing Strategy,SKILL
Product Marketing,SKILL
Content Management,SKILL
Brand Management,SKILL
Email Marketing,SKILL
Event Management,SKILL
SEO/SEM,SKILL
Technical Writing,SKILL
Copywriting,SKILL
Content Marketing,SKILL
SEO,SKILL
Content Creation,SKILL
Google Adwords,SKILL
Creative Writing,SKILL
Copy Writing and Editing,SKILL
Video Editing,SKILL
Event Planning,SKILL
Technical documentation,SKILL
Blogging,SKILL
Media Relations,SKILL
Content Strategy,SKILL
Growth Hacking,SKILL
Facebook Advertising,SKILL
Digital Media,SKILL
Online Marketing,SKILL
Social Media Strategy,SKILL
Content Writing,SKILL
Telemarketing,SKILL
Mailchimp,SKILL
HubSpot,SKILL
Social Media Management,SKILL
Search Engine Marketing (SEM),SKILL
SEO and Website Analytics,SKILL
Web Content Writer,SKILL
Marketing Communications,SKILL
PPC,SKILL
Search Engine Optimization,SKILL
Customer Acquisition,SKILL
Journalism,SKILL
Google Adwords and Analytics,SKILL
Digital Marketing Strategy,SKILL
Influencer Marketing,SKILL
Marketing Automation,SKILL
Inbound Marketing,SKILL
B2B Marketing,SKILL
Instagram Marketing,SKILL
Affiliate Marketing,SKILL
Content and Creative Writing,SKILL
Paid Search Advertising,SKILL
Conversion Optimization,SKILL
Online Marketing and Copywriting,SKILL
Mobile Advertising,SKILL
Internet Marketing,SKILL
Display Advertising,SKILL
Revenue Growth,SKILL
PR,SKILL
Press Release Writing,SKILL
Events,SKILL
SEO and Marketing Services,SKILL
Video Advertising,SKILL
User Acquisition,SKILL
Twitter Marketing,SKILL
Linkedin Marketing,SKILL
Landing Page Optimization,SKILL
Viral Marketing,SKILL
Product Evangelism,SKILL
Microsoft Office,SKILL
English language,SKILL
